snpId;chromosome;position;DSI;DPI;diseaseId;diseaseName;diseaseType;diseaseClass;diseaseSemanticType;score;EI;YearInitial;YearFinal;pmid;source
rs10838725;11;47536319;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASDB
rs10845990;12;7818125;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2011;2011;21295279;BEFREE
rs10850408;12;114942588;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2012;2012;22159054;GWASDB
rs10850408;12;114942588;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2012;2012;22159054;GWASCAT
rs10868366;9;86085145;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2012;2012;20570408;BEFREE
rs10897011;11;60193954;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs10948363;6;47520026;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASCAT
rs10948363;6;47520026;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASDB
rs10975167;9;5538407;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs10997477;10;67000961;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,02;1;2012;2014;24463050;BEFREE
rs10997477;10;67000961;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,02;1;2012;2014;22393166;BEFREE
rs11014002;10;24275724;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;26856603;BEFREE
rs11023139;11;14202800;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASCAT
rs11023139;11;14202800;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASDB
rs11062987;12;4063960;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs11075996;16;53824112;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2013;2013;23251365;BEFREE
rs11075997;16;53825000;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2013;2013;23251365;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;22015308;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;21321396;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;24806679;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;22506010;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;25189118;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;24117116;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;25496871;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;24578178;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;21460841;GWASDB
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;19734902;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;22402018;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;22296908;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;23643458;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;21726919;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;22795969;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;21422520;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;19734902;GWASCAT
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;23892938;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;25359311;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;20554627;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;21379329;BEFREE
rs11136000;8;27607002;744;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,09;1;2010;2015;20739100;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;22248099;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;20697030;BEFREE
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;19734903;GWASDB
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;19734902;GWASDB
rs11136000;8;27607002;744;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,9;9,29E+14;2009;2016;21397462;BEFREE
rs1114831;19;45133061;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs1114832;19;45132943;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs11154851;6;136046867;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASDB
rs11154851;6;136046867;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASCAT
rs11168036;5;140327854;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2016;2017;25778476;GWASCAT
rs11168036;5;140327854;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2016;2017;28183528;GWASCAT
rs1117750;7;14848793;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2011;2011;21059989;BEFREE
rs111816999;17;6979124;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs11190302;10;99873158;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2009;2009;18452187;BEFREE
rs11190305;10;99880120;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2015;2015;25801238;BEFREE
rs11218343;11;121564878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2013;2014;24162737;GWASDB
rs11218343;11;121564878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2013;2014;23565137;GWASCAT
rs11218343;11;121564878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2013;2014;23565137;GWASDB
rs11218343;11;121564878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2013;2014;24162737;GWASCAT
rs11220271;11;125907477;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs11230183;11;60198252;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs11230201;11;60229521;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs11234495;11;85964391;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;25452228;BEFREE
rs11257238;10;11675398;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;28183528;GWASCAT
rs112724034;5;109885325;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASCAT
rs112724034;5;109885325;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASDB
rs113118940;20;23514209;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs113193886;7;143267671;608;464;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;25633095;BEFREE
rs1133174;11;121631046;923;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2015;2015;24938503;BEFREE
rs1133763;17;34320812;923;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;0;2009;2009;19415413;BEFREE
rs113524839;5;84788958;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23419831;GWASDB
rs113524839;5;84788958;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23419831;GWASCAT
rs1137101;1;65592830;605;679;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2010;2010;20220325;BEFREE
rs1137101;1;65592830;605;679;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2010;2010;20220325;BEFREE
rs1138272;11;67586108;699;286;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;0;2005;2005;15080568;BEFREE
rs115102486;14;95298227;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASCAT
rs115102486;14;95298227;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;23535033;GWASDB
rs1151999;3;12405654;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2011;2011;19660836;BEFREE
rs115291397;2;60832908;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs11540654;17;7676040;492;679;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2009;2009;19657586;BEFREE
rs11542041;19;44908690;707;357;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;0;2009;2009;19455140;BEFREE
rs115514216;11;25871035;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2017;2017;26830138;GWASCAT
rs115550680;19;1050421;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,82;1;2013;2015;24643655;BEFREE
rs115550680;19;1050421;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,82;1;2013;2015;23571587;GWASDB
rs115550680;19;1050421;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,82;1;2013;2015;23571587;GWASCAT
rs115550680;19;1050421;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,82;1;2013;2015;23571587;BEFREE
rs11556505;19;44892887;923;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2013;2015;23562540;GWASDB
rs11556505;19;44892887;923;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2014;2014;23288655;BEFREE
