DATE ADDED TO CATALOG;PUBMEDID;FIRST AUTHOR;DATE;JOURNAL;LINK;STUDY;DISEASE/TRAIT;INITIAL SAMPLE SIZE;REPLICATION SAMPLE SIZE;REGION;CHR_ID;CHR_POS;REPORTED GENE(S);MAPPED_GENE;UPSTREAM_GENE_ID;DOWNSTREAM_GENE_ID;SNP_GENE_IDS;UPSTREAM_GENE_DISTANCE;DOWNSTREAM_GENE_DISTANCE;STRONGEST SNP-RISK ALLELE;SNPS;MERGED;SNP_ID_CURRENT;CONTEXT;INTERGENIC;RISK ALLELE FREQUENCY;P-VALUE;PVALUE_MLOG;P-VALUE (TEXT);OR or BETA;95% CI (TEXT);PLATFORM [SNPS PASSING QC];CNV;MAPPED_TRAIT;MAPPED_TRAIT_URI;STUDY ACCESSION;GENOTYPING TECHNOLOGY
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;2q14.3;2;123951121;Intergenic;RN7SKP102 - AC079154.1;ENSG00000223118;ENSG00000228400;;81551;65737;rs138449900-C;rs138449900;0;138449900;intergenic_variant;1;0.996;0,000003;5,52E+15;(liability model);66;[0.39-0.93] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;8q21.13;8;80432793;Intergenic;AC034114.2;;;ENSG00000253238;;;rs141846544-T;rs141846544;0;141846544;intron_variant;0;0.996;0,000009;5,05E+15;(liability model);65;[0.36-0.94] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1p36.13;1;19288434;AKR7A3;AKR7A3;;;ENSG00000162482;;;rs117022236-A;rs117022236;0;117022236;intron_variant;0;0.995;0,000004;5,40E+16;(liability model);63;[0.36-0.9] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;6q14.1;6;78889320;IRAK1BP1;IRAK1BP1;;;ENSG00000146243;;;rs140587050-C;rs140587050;0;140587050;intron_variant;0;0.995;0,000005;5,30E+15;(liability model);63;[0.36-0.9] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;15q24.3;15;76713822;SCAPER;SCAPER;;;ENSG00000140386;;;rs183291664-T;rs183291664;0;183291664;intron_variant;0;0.996;0,000003;5,52E+15;(liability model);58;[0.34-0.82] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;3q22.2;3;134501479;CEP63;CEP63;;;ENSG00000182923;;;rs142076474-A;rs142076474;0;142076474;intron_variant;0;0.994;0,000004;5,40E+16;(liability model);58;[0.34-0.82] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;9q31.3;9;111149099;Intergenic;AL162414.1;;;ENSG00000227531;;;rs181299481-A;rs181299481;0;181299481;intron_variant;0;0.994;0,000004;5,40E+16;(liability model);58;[0.33-0.83] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;19q13.33;19;47635083;GLTSCR1;BICRA, AC010519.1;;;ENSG00000063169, ENSG00000268746;;;rs191404864-A;rs191404864;0;191404864;intron_variant;0;0.006;0,000005;5,30E+15;(liability model);53;[0.29-0.77] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;7p12.1;7;51510325;COBL;AC005999.2;;;ENSG00000285741;;;rs112404845-A;rs112404845;0;112404845;intron_variant;0;0.991;0,00000004;7,40E+16;(liability model);47;[0.29-0.65] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;4q25;4;109373310;Intergenic;SEC24B-AS1;;;ENSG00000247950;;;rs183256737-A;rs183256737;0;183256737;intron_variant;0;0.993;0,000002;5,70E+15;(liability model);46;[0.26-0.66] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;11q22.3;11;104874043;Intergenic;AP002004.1 - CASP12;ENSG00000254569;ENSG00000204403;;626;11675;rs79930850-A;rs79930850;0;79930850;intergenic_variant;1;0.99;0,000003;5,52E+15;(liability model);45;[0.25-0.65] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;11q14.1;11;78938571;ODZ4;TENM4;;;ENSG00000149256;;;rs143261188-C;rs143261188;0;143261188;intron_variant;0;0.992;0,000003;5,52E+15;(liability model);44;[0.24-0.64] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1p36.13;1;19693032;TMCO4;TMCO4;;;ENSG00000162542;;;rs115078773-A;rs115078773;0;115078773;intron_variant;0;0.992;0,000007;5,15E+15;(liability model);44;[0.24-0.64] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;5p15.1;5;16262936;Intergenic;NACAP6 - LINC02150;ENSG00000248403;ENSG00000248150;;70227;110425;rs139195876-A;rs139195876;0;139195876;intergenic_variant;1;0.99;0,000002;5,70E+15;(liability model);43;[0.25-0.61] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;13q33.1;13;103011595;SLC10A2;AL137246.2 - SLC10A2;ENSG00000278445;ENSG00000125255;;107595;32403;rs16961023-C;rs16961023;0;16961023;intergenic_variant;1;0.985;0,00000005;7,30E+15;(liability model);41;[0.27-0.55] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;2p13.2;2;71938176;Intergenic;DYSF - RPS20P10;ENSG00000135636;ENSG00000233971;;251408;46006;rs72842919-A;rs72842919;0;72842919;intergenic_variant;1;0.985;0,0000005;6,30E+15;(liability model);38;[0.22-0.54] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;8p22;8;13182155;DLC1;DLC1;;;ENSG00000164741;;;rs181990369-A;rs181990369;0;181990369;intron_variant;0;0.988;0,000004;5,40E+16;(liability model);37;[0.21-0.53] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;17q25.1;17;75453551;Intergenic;TMEM94;;;ENSG00000177728;;;rs181228315-A;rs181228315;0;181228315;intron_variant;0;0.986;0,000002;5,70E+15;(liability model);35;[0.21-0.49] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;2q33.1;2;198252846;Intergenic;PLCL1;;;ENSG00000115896;;;rs147150305-A;rs147150305;0;147150305;intron_variant;0;0.984;0,0000004;6,40E+16;(liability model);35;[0.21-0.49] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;13q32.1;13;94628579;GPR180;GPR180;;;ENSG00000152749;;;rs187295598-T;rs187295598;0;187295598;3_prime_UTR_variant;0;0.988;0,000006;5,22E+15;(liability model);34;[0.18-0.5] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;15q24.3;15;77611050;Intergenic;AC046168.2 - LINGO1;ENSG00000259420;ENSG00000169783;;2162;1977;rs142660142-T;rs142660142;0;142660142;regulatory_region_variant;1;0.986;0,000002;5,70E+15;(liability model);34;[0.2-0.48] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;11q23.3;11;116082456;Intergenic;AP000797.1 - LINC02151;ENSG00000239600;ENSG00000236437;;130965;414443;rs77544685-T;rs77544685;0;77544685;intergenic_variant;1;0.013;0,000005;5,30E+15;(liability model);33;[0.19-0.47] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1q24.2;1;168874774;Intergenic;AL135926.1;;;ENSG00000285622;;;rs144167489-T;rs144167489;0;144167489;intron_variant;0;0.017;0,000002;5,70E+15;(liability model);32;[0.18-0.46] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;8q22.3;8;103186989;BAALC;BAALC-AS1, BAALC;;;ENSG00000247081, ENSG00000164929;;;rs75635567-T;rs75635567;0;75635567;intron_variant;0;0.985;0,000005;5,30E+15;(liability model);3;[0.16-0.44] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;7p22.1;7;6830481;Intergenic;CCZ1B - OR7E39P;ENSG00000146574;ENSG00000273252;;3711;4939;rs146997164-C;rs146997164;0;146997164;intergenic_variant;1;0.97;0,000009;5,05E+15;(liability model);26;[0.14-0.38] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;15q26.3;15;101501820;Intergenic;PCSK6;;;ENSG00000140479;;;rs146322114-A;rs146322114;0;146322114;intron_variant;0;0.029;0,000002;5,70E+15;(liability model);25;[0.15-0.35] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;6q16.3;6;103817252;Intergenic;RF00438 - R3HDM2P2;ENSG00000252045;ENSG00000216817;;233984;200381;rs12661302-C;rs12661302;0;12661302;intergenic_variant;1;0.977;0,000003;5,52E+15;(liability model);25;[0.15-0.35] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;17q12;17;38287606;Intergenic;AC244154.1 - MRPL45;ENSG00000274487;ENSG00000278845;;30414;9417;rs186588455-A;rs186588455;0;186588455;intergenic_variant;1;0.964;0,000006;5,22E+15;(liability model);22;[0.12-0.32] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;18q22.1;18;65993723;Intergenic;AC023394.1 - PRPF19P1;ENSG00000263622;ENSG00000264685;;72781;75027;rs115443594-T;rs115443594;0;115443594;regulatory_region_variant;1;0.966;0,000004;5,40E+16;(liability model);22;[0.12-0.32] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;12q15;12;69160349;Intergenic;CPM - AC127894.1;ENSG00000135678;ENSG00000258140;;188779;51759;rs114179644-T;rs114179644;0;114179644;intergenic_variant;1;0.969;0,000008;5,10E+15;(liability model);21;[0.11-0.31] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1p36.33;1;1950293;Intergenic;CFAP74;;;ENSG00000142609;;;rs145840463-A;rs145840463;0;145840463;intron_variant;0;0.036;0,000006;5,22E+15;(liability model);21;[0.11-0.31] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
